locationName,link,thumbnail,location,category,reviewContent,reviewDate,rating
Feast Buffet,https://www.yelp.com/biz/feast-buffet-north-las-vegas-4,https://s3-media1.fl.yelpcdn.com/bphoto/KaUfK0kWnNaLZvurKb1NVQ/90s.jpg,"2101 Texas Star LnNorth Las Vegas, NV 89032",Buffets,"$12.99 Saturday night with a brand new players card. Not great on price. Food was alright, pizza wasn't great. Waitress was good and kept my drink full.",6/24/2017,3.0 star rating
Pizza Hut,https://www.yelp.com/biz/pizza-hut-kingman-3,https://s3-media1.fl.yelpcdn.com/bphoto/hdhyngKYP5JUK7JQiL22BQ/90s.jpg,"3295 E Andy Devine AveKingman, AZ 86401","Italian,
                    Pizza,
                    Chicken Wings","$7.49 lunch buffet is an alright deal, but drinks are overpriced at $2.49. I did like the big cups though. I wasn't really impressed with the quality of the food.",6/23/2017,3.0 star rating
Jack-In-the Box,https://www.yelp.com/biz/jack-in-the-box-lebec-3,https://s3-media4.fl.yelpcdn.com/bphoto/SKVWRDdooxDbFLqK0Mgs1g/90s.jpg,"73 Frazier Mountain ParLebec, CA 93243","American (New),
                    Fast Food","I couldn't find any good deal on the menu, but they were fast and the food was good. .......................................................",6/20/2017,4.0 star rating
Burger King - CLOSED,https://www.yelp.com/biz/burger-king-flagstaff,https://s3-media1.fl.yelpcdn.com/bphoto/Xr_eNjn-61_nXKflvjw-lQ/90s.jpg,"2275 E Butler AveFlagstaff, AZ 86004",Burgers,"$3.29 deal and 10 piece for  $1.49 available here. Great deals. They were a bit slow, but accidentally gave me an extra fries.",6/19/2017,4.0 star rating
Pizza Hut,https://www.yelp.com/biz/pizza-hut-aztec,https://s3-media2.fl.yelpcdn.com/bphoto/v-mxDkyD76dzCTAu77-eKA/90s.jpg,"222 W Aztec BlvdAztec, NM 87410","Pizza,
                    Italian,
                    Chicken Wings","They have some good deals and the food was good, but they must charge more for chicken. My 7.99 deal was 8.99.",6/16/2017,4.0 star rating
Wendy’s - CLOSED,https://www.yelp.com/biz/wendys-denver-23,https://s3-media2.fl.yelpcdn.com/bphoto/otBgj7zvUTYcleF4VxzB6g/90s.jpg,"4640 Steele StDenver, CO 80216",Fast Food,"4 for $4 available here. Great deal. The value menu prices aren't great though. Service was fast and food was good. Fries should have been salted right after they're pulled out, so the salt will stick. They weren't.",6/15/2017,4.0 star rating
Burger King,https://www.yelp.com/biz/burger-king-sparks-5,https://s3-media4.fl.yelpcdn.com/bphoto/qV9K1CnR-DEDLpsw-homkg/90s.jpg,"285 N McCarran BlvdSparks, NV 89431","Burgers,
                    Fast Food",$3.29 deal and 10 piece $1.49 deal offered here. Great deals. Fast service and good food. Nice lobby too.,6/13/2017,5.0 star rating
Carl’s Jr.,https://www.yelp.com/biz/carls-jr-long-beach-8,https://s3-media3.fl.yelpcdn.com/bphoto/_NUV_B6gA3Z7uMH7aQbISA/90s.jpg,"6601 Atlantic AveLong Beach, CA 90805","Fast Food,
                    Burgers","Real deal is $5 here. Big hamburgers $2. Not great on prices. They were slow to take my order, but quick to prepare it. Food was good. Lobby was clean.",6/11/2017,3.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-richfield-4,"https://s3-media1.fl.yelpcdn.com/bphoto/ONMlB3ipPlwaMiyN9KyC_w/90s.jpg,https://s3-media2.fl.yelpcdn.com/buphoto/tRO8Ep27Bz89YXYQFABu-Q/90s.jpg","950 West 1250 SRichfield, UT 84701","Fast Food,
                    Mexican,
                    Chicken Wings","Menu shows that meal deals are $2.59, but they ring up at $2.89. Dollar menu items ring up at $1.09. Speed wasn't great. Men's room was a mess. Food was good.",6/9/2017,2.0 star rating
Taco Bell,https://www.yelp.com/biz/taco-bell-ellensburg-2,https://s3-media1.fl.yelpcdn.com/bphoto/0yGaAF1icuO_Nm_Pfkajfg/90s.jpg,"1406 S Canyon RdEllensburg, WA 98926","Mexican,
                    Tex-Mex,
                    Fast Food",Prices are right here unlike many other taco bells. The wait time wasn't so good. I only ordered 2 small burritos and it took maybe 7-8 minutes. Food was good.,6/5/2017,4.0 star rating
Carl’s Jr.,https://www.yelp.com/biz/carls-jr-ellensburg,https://s3-media2.fl.yelpcdn.com/bphoto/uAR-FJyGLutrKTC8ip3hog/90s.jpg,"1303 S Opportunity StEllensburg, WA 98926","Fast Food,
                    Burgers",No 4 for $4 real deal here. The only decent deals I saw was California classic and halipeno burger meals. The food was good and service was fast.,6/5/2017,4.0 star rating
Jack In the Box,https://www.yelp.com/biz/jack-in-the-box-lost-hills-2,https://s3-media2.fl.yelpcdn.com/bphoto/wQcpg99-nvc7GlIrRgWv8Q/90s.jpg,"21958 Hwy 46Lost Hills, CA 93249","Fast Food,
                    Burgers","They no longer have the $3.99 Jumbo deal. Food is good, and service was faster than usual. Most of the tables were messy.","6/1/2017
            
                
    
        
    

                Updated review,5/20/2017
            
                Previous review,5/18/2017
            
                Previous review",3.0 star rating
The Gathering Place Buffet,https://www.yelp.com/biz/the-gathering-place-buffet-canyonville,https://s3-media4.fl.yelpcdn.com/bphoto/6bRGow2RN1QmYdnlG4Ya-A/90s.jpg,"146 Chief Miwaleta LnCanyonville, OR 97417",Buffets,"Monday, Tuesday, Wednesday only  $8 with a players club card. The food is good. I've been here a few times now and have seen multiple plates that weren't cleaned properly.",5/30/2017,4.0 star rating
Carl’s Jr Restaurant,https://www.yelp.com/biz/carls-jr-restaurant-fillmore-2,https://s3-media2.fl.yelpcdn.com/bphoto/8uT-fixhn3iHNCHV2OzoAg/90s.jpg,"55 W 1170 Cedar Mountainrd NFillmore, UT 84631",Fast Food,4 for $4 is a great deal. Big hamburgers are $1.49. Food is good. Lobby is clean. I stop here almost every time I pass through.,"5/25/2017
            
                
    
        
    

                Updated review,7/19/2016
            
                Previous review",5.0 star rating
Peter Piper Pizza,https://www.yelp.com/biz/peter-piper-pizza-buckeye,https://s3-media2.fl.yelpcdn.com/bphoto/BEqGVLkE7Y2b5w4iE-XChA/90s.jpg,"764 S Watson RdBuckeye, AZ 85326","Pizza,
                    Buffets,
                    Chicken Wings","Lunch buffet is a great deal. $6.49, but drinks are overpriced at $2.29 and $2.49, and if you get a water they give you a tiny little shot glass. The booth tables were all dirty. The food was good.",5/22/2017,3.0 star rating
Carl’s Jr.,https://www.yelp.com/biz/carls-jr-yuba-city-3,https://s3-media1.fl.yelpcdn.com/bphoto/EypMLAERywrqTinRdS3Zyw/90s.jpg,"995 Tharp RdYuba City, CA 95993",Fast Food,Food is good and service is too. Prices aren't good though. Real deal is $5. Big hamburger is  $1.99. California classic combo is $5.99. Priced higher than other locations.,5/17/2017,3.0 star rating
Golden Corral,https://www.yelp.com/biz/golden-corral-modesto,https://s3-media3.fl.yelpcdn.com/bphoto/95sJX3d4Pq7S92WEKnjG4w/90s.jpg,"3737 McHenry AveModesto, CA 95356","Buffets,
                    American (Traditional)","Price isn't bad at about $9 for lunch with water, but drinks are overpriced. I came in just after 3:00, they weren't very busy and some of the food was a bit old.",5/15/2017,3.0 star rating
